no,original_file,new_file,module,description,size,md5
11,"ChatGPT Image Jun 25, 2026, 12_06_49 PM.png",screen-11-agent-detail-overview-dashboard.png,Agent detail,"Agent overview dashboard showing purpose, knowledge, tools, credentials, autonomy and quick test panel.",1672x941,584a4ac39d266f7aadfabf7cfef57ac7
12,"ChatGPT Image Jun 25, 2026, 12_07_01 PM (1).png",screen-12-agent-builder-ux-journey-overview.png,Agent builder,"Composite UX journey showing create agent, define brain, add knowledge/tools, attach credentials, autonomy and test.",1672x941,91127b8ff8c47a356514b5d035253948
13,"ChatGPT Image Jun 25, 2026, 12_07_01 PM (2).png",screen-13-agent-create-template-selection.png,Agent builder,"Create agent entry screen with templates, agent basics, workspace and save/next controls.",1672x941,eab6b4777b8e826c434025d391062288
14,"ChatGPT Image Jun 25, 2026, 12_07_02 PM (3).png",screen-14-agent-brain-define-behavior.png,Agent builder,"Define Brain step with purpose, system prompt, behavioral rules, memory and response style.",1672x941,6a83102bbe5ce365f162880351ae5641
15,"ChatGPT Image Jun 25, 2026, 12_07_02 PM (4).png",screen-15-agent-knowledge-tools-setup.png,Agent builder,Add Knowledge & Tools step with file/URL/memory sources and tool capability cards.,1672x941,679923446567b96911c6b19db3612040
16,"ChatGPT Image Jun 25, 2026, 12_07_03 PM (5) (1).png",screen-16-agent-builder-attach-credentials-vault-duplicate-a.png,Agent builder,Duplicate copy of Attach Credentials from Vault screen retained for completeness.,1672x941,1eb838a27907eb941e8c1be54d26ca80
17,"ChatGPT Image Jun 25, 2026, 12_07_03 PM (5).png",screen-17-agent-builder-attach-credentials-vault-duplicate-b.png,Agent builder,Duplicate copy of Attach Credentials from Vault screen retained for completeness.,1672x941,1eb838a27907eb941e8c1be54d26ca80
18,"ChatGPT Image Jun 25, 2026, 12_07_03 PM (6) (1).png",screen-18-agent-autonomy-safety-configuration.png,Agent builder,"Configure Autonomy & Safety step with execution mode, approval rules, guardrails, spend and action limits.",1672x941,e907d80dd34842f1dfa4e6138414d87e
19,"ChatGPT Image Jun 25, 2026, 12_07_03 PM (6).png",screen-19-agent-autonomy-safety-configuration-duplicate-a.png,Agent builder,Duplicate copy of Configure Autonomy & Safety screen retained for completeness.,1672x941,e907d80dd34842f1dfa4e6138414d87e
20,"ChatGPT Image Jun 25, 2026, 12_07_04 PM (7).png",screen-20-agent-detail-test-publish-monitor-duplicate-a.png,Agent detail,"Duplicate copy of Test, Publish & Monitor dashboard retained for completeness.",1672x941,bf0a31c54ab335a65a5b71614c689346
21,"ChatGPT Image Jun 25, 2026, 12_24_06 PM (1).png",screen-21-home-dashboard-overview.png,Core app,"Home dashboard with active agents, runs, success rate, cost, recent agents/activity and onboarding links.",1672x941,c791b1950d4f8c34b69e7eb6779ecd95
22,"ChatGPT Image Jun 25, 2026, 12_24_06 PM (2).png",screen-22-activity-request-log.png,Core app,"Activity page with request log, audit trail/failures tabs, filters and run details.",1672x941,fd1d2abad5544ec4d5369b058bf639c8
23,"ChatGPT Image Jun 25, 2026, 12_24_07 PM (3).png",screen-23-settings-general-workspace-preferences.png,Core app,"Settings page with account, appearance, workspace, platform preferences and setup checklist.",1672x941,b9bd361a43c3a208ec24a6370a1a9c31
24,"ChatGPT Image Jun 25, 2026, 12_24_08 PM (4).png",screen-24-tools-library-management.png,Tools,"Tools management page for built-in tools, MCP servers and custom tools.",1672x941,15dcb24e3e6d5d60dbfbf85f3d1fff9a
25,"ChatGPT Image Jun 25, 2026, 12_24_09 PM (5).png",screen-25-workflow-builder-canvas-manual-trigger.png,Workflow builder,"Workflow Builder canvas with node palette, manual trigger and right-side configuration inspector.",1672x941,d63a6e4aa7157d4ea4e8d97740934287
26,"ChatGPT Image Jun 25, 2026, 12_24_09 PM (6).png",screen-26-ai-cost-dashboard.png,Cost analytics,"AI Cost Dashboard for LLM requests, cost over time, model/agent costs and request log.",1672x941,59ad50a483c0a61b779fb57e570a27b9
27,"ChatGPT Image Jun 25, 2026, 12_24_10 PM (7).png",screen-27-connectors-overview-global-scope.png,Connectors,"Connectors overview with global scope, connected/available/MCP/custom tabs and sandbox summary.",1672x941,48a48f32d6f96621040810b058e5dcfd
28,"ChatGPT Image Jun 25, 2026, 12_30_39 PM (1).png",screen-28-automation-schedules-create-run.png,Automation,"Automation & Schedules page for scheduled runs, frequency, timing, controls and schedule table.",1672x941,4a8f8631a17a46ba1fc486decdf19988
29,"ChatGPT Image Jun 25, 2026, 12_30_41 PM (2).png",screen-29-integration-hub-catalog.png,Connectors,"Integration Hub catalog with cards for GitHub, Slack, Gmail, Stripe, Notion, HubSpot, Salesforce, Drive and custom MCP.",1672x941,3c61e927b7ac7119392cc5508cfe6a47
30,"ChatGPT Image Jun 25, 2026, 12_30_41 PM (3).png",screen-30-help-center-home-alt-layout.png,Help / education,"Alternative help center home with search, quick start, topics, tutorials and recommended next steps.",1672x941,7da9b3324f1c84527b2fbb522357fba0
31,"ChatGPT Image Jun 25, 2026, 12_30_42 PM (4).png",screen-31-budgets-cost-controls.png,Governance,"Budgets page with spend cards, budget-by-scope table, spend charts, rules and presets.",1672x941,24380c6b57ecf6fa2337a344bf34cfd8
32,"ChatGPT Image Jun 25, 2026, 12_30_42 PM (5).png",screen-32-guardrails-policy-controls.png,Governance,"Guardrails page with approval policies, risky actions, tool permissions, modes, checkpoints and escalation rules.",1672x941,d77f4736d251268ec54f1bf9088b6e73
33,"ChatGPT Image Jun 25, 2026, 12_34_18 PM (1).png",screen-33-help-center-home.png,Help / education,"Help Center page with search, setup checklist, browse topics, tutorials and support actions.",1672x941,6fb060f6daa0017cc5d5a93e1940546b
34,"ChatGPT Image Jun 25, 2026, 12_34_19 PM (2).png",screen-34-documentation-home.png,Help / education,"Documentation home with docs categories, quickstart, API reference, SDKs, code examples and support links.",1672x941,5e5873987d3115a1191269866dac0ad9
35,"ChatGPT Image Jun 25, 2026, 12_34_19 PM (3).png",screen-35-tutorials-library.png,Help / education,"Tutorials library with featured series, popular tutorials, learning paths and progress panels.",1672x941,5a6d64b595c141d694b09ef2403d5821
36,"ChatGPT Image Jun 25, 2026, 12_34_20 PM (4).png",screen-36-guided-tours-library.png,Help / education,"Guided Tours library with recommended tours, updated tours, admin tours and progress/stat panels.",1672x941,ee8fd815cf8ca886210860824e0ad6c8
37,"ChatGPT Image Jun 25, 2026, 12_34_21 PM (5).png",screen-37-getting-started-onboarding.png,Onboarding,"Getting Started page with checklist, setup progress, templates, guided setup and support resources.",1672x941,c666143108e62905052d54d5ae6a2074
38,"ChatGPT Image Jun 25, 2026, 12_47_39 PM.png",screen-38-organization-overview-north-rays.png,Organization admin,"North Rays organization dashboard with workspaces, members, approvals, credentials, budget and guardrails.",1672x941,566b33f74ebeafad4bb7afdde5de0e52
39,"ChatGPT Image Jun 25, 2026, 12_57_18 PM.png",screen-39-organization-admin-module-overview.png,Organization admin,"Composite organization admin module reference: workspaces, cloud resources, sandboxes, budgets, procurement, usage, policies and activity.",1536x1024,00f90801f412c8058b4ec6ddd0034bbe
